web,yt-dlp,A youtube-dl fork with additional features and fixes
web,wttr,a simple script that checks the weather condition via http://wttr.in
web,w3m,Text-based Web browser as well as pager
web,ssmtp,Extremely simple MTA to get mail off the system to a mailhub
web,s-nail,Environment for sending and receiving mail
web,mailutils,MUA command line tool (mailx)
web,rdrview-git,Command line tool to extract the main content from a webpage
web,surfraw,Shell Users' Revolutionary Front Rage Against the Web
web,lynx,A text browser for the World Wide Web
multimedia,vlc,Multi-platform MPEG VCD/DVD and DivX player
multimedia,sxiv,Simple X Image Viewer
multimedia,sacad,Smart Automatic Cover Art Downloader
multimedia,pulseaudio,A featureful general-purpose sound server
multimedia,pavucontrol,PulseAudio Volume Control
multimedia,mpv,a free open source and cross-platform media player
multimedia,mediainfo,Supplies technical and tag information about media files
multimedia,kid3,An MP3/Ogg/Vorbis and FLAC tag editor
multimedia,imagemagick,An image viewing/manipulation program
multimedia,ffmpegthumbnailer,Lightweight video thumbnailer that can be used by file managers
multimedia,ueberzeugpp,Command line util which allows to display images in combination with X11 written in C++
multimedia,digikam,An advanced digital photo management application
multimedia,cuetools,Cue and toc file parsers and utilities
multimedia,cmus,Feature-rich ncurses-based music player
multimedia,cheese,Take photos and videos with your webcam with fun graphical effects
multimedia,chafa,Image-to-text converter
multimedia,brasero,CD/DVD mastering tool
utilities,oscar-git,sleep tracking software with a focus on monitoring CPAP treatment
utilities,maim,Utility to take a screenshot using imlib2
utilities,lltag,Automatic command-line music (mp3/ogg/flac) file tagger and renamer
utilities,iotop,View I/O usage of processes
utilities,filezilla,Fast and reliable FTP FTPS and SFTP client
utilities,fdupes,a program for identifying or deleting duplicate files residing within specified directories
utilities,dust,A more intuitive version of du in rust
utilities,duf,Disk Usage/Free Utility
utilities,htop,Interactive process viewer
utilities,isync,IMAP and MailDir mailbox synchronizer
utilities,msmtp,A mini smtp client
utilities,notmuch,Notmuch is not much of an email program
utilities,abook,Text-based addressbook designed for use with Mutt
utilities,urlview,A curses URL parser for text files
utilities,btop,A monitor of system resourcesbpytop ported to C++
utilities,inxi,Full featured CLI system information tool
utilities,ddgr,DuckDuckGo from the terminal
utilities,code,The Open Source build of Visual Studio Code (vscode) editor
utilities,buku,web bookmarks
utilities,oil-search,Search-as-you-type cli frontend for the buku bookmarks manager using peco
utilities,peco,Simplistic interactive filtering tool
utilities,transmission-cli,Fast easy and free BitTorrent client (CLI tools daemon and web client)
utilities,afew,Initial tagging script for notmuch mail
utilities,pam-gnupg,Unlock GnuPG keys on login
office,zathura-pdf-mupdf,PDF support for Zathura
office,neomutt,A version of mutt with added features
office,zathura-djvu,DjVu support for Zathura
office,libreoffice-still,LibreOffice office package
office,calibre,Ebook management application
office,calcurse,A text-based personal organizer
office,epy-ereader-git,CLI Ebook Reader
